url,model,review,data,pos,neg
https://x.com/search?q=Fiat%20Strada%20pintura&src=typed_query&f=live,Fiat Strada,Sao Paulo  FIAT STRADA 1.4 MPI WORKING CS 8V FLEX 2P MANUAL BASICA 2016/2016  Combustível Flex Km 171.996 Portas 2p cor Branco Motor 1.4 câmbio Manual      Elétrica Bom     Interior Bom     Motor Bom     Pintura… https://instagram.com/p/B1qx7xWHhhU/?igshid=1cd6sj65iqqam…,2019-08-27T13:04:37.000Z,3,0
https://x.com/search?q=Fiat%20Strada%20pintura&src=typed_query&f=live,Fiat Strada,FIAT STRADA ADV. LOCKER  2014  1.8 83.000 KM AUTOMÁTICA CABINE DUPLA 3 PORTAS REVISADA  FAROL DE NEBLINA  PNEUS NOVOS  CHAVE RESERVA + MANUAL SEM RETOQUES DE PINTURA  ÓTIMO CUSTO BENEFÍCIO... https://facebook.com/jacarepaguanoticiasrj/posts/2201948936729827…,2018-12-28T16:41:16.000Z,2,0
https://x.com/search?q=Fiat%20Strada%20pintura&src=typed_query&f=live,Fiat Strada,"Vende-se: Fiat Strada Adventure 1.8 CD https://ift.tt/2APmXzF   Vendo Fiat Strada Adventure 1.8, cabine dupla, ano 2012, completa. Está como nova. Pintura branca, Protetor de caçamba, Carro bom e confiável. Liga Já – […]  O post Fiat Strada Adventure 1.8 CD apareceu primei…",2018-11-05T21:20:28.000Z,2,0
https://x.com/search?q=Fiat%20Strada%20pintura&src=typed_query&f=live,Fiat Strada,Sao Paulo  FIAT STRADA 1.4 MPI WORKING CS 8V FLEX 2P MANUAL BASICA 2016/2016  Combustível Flex Km 171.996 Portas 2p cor Branco Motor 1.4 câmbio Manual      Elétrica Bom     Interior Bom     Motor Bom     Pintura… https://instagram.com/p/B1qx7xWHhhU/?igshid=1cd6sj65iqqam…,2019-08-27T13:04:37.000Z,3,0
https://x.com/search?q=Fiat%20Strada%20pintura&src=typed_query&f=live,Fiat Strada,FIAT STRADA ADV. LOCKER  2014  1.8 83.000 KM AUTOMÁTICA CABINE DUPLA 3 PORTAS REVISADA  FAROL DE NEBLINA  PNEUS NOVOS  CHAVE RESERVA + MANUAL SEM RETOQUES DE PINTURA  ÓTIMO CUSTO BENEFÍCIO... https://facebook.com/jacarepaguanoticiasrj/posts/2201948936729827…,2018-12-28T16:41:16.000Z,2,0
https://x.com/search?q=Fiat%20Strada%20pintura&src=typed_query&f=live,Fiat Strada,"Vende-se: Fiat Strada Adventure 1.8 CD https://ift.tt/2APmXzF   Vendo Fiat Strada Adventure 1.8, cabine dupla, ano 2012, completa. Está como nova. Pintura branca, Protetor de caçamba, Carro bom e confiável. Liga Já – […]  O post Fiat Strada Adventure 1.8 CD apareceu primei…",2018-11-05T21:20:28.000Z,2,0
https://x.com/search?q=Fiat%20Strada%20pintura&src=typed_query&f=live,Fiat Strada,Sao Paulo  FIAT STRADA 1.4 MPI WORKING CS 8V FLEX 2P MANUAL BASICA 2016/2016  Combustível Flex Km 171.996 Portas 2p cor Branco Motor 1.4 câmbio Manual      Elétrica Bom     Interior Bom     Motor Bom     Pintura… https://instagram.com/p/B1qx7xWHhhU/?igshid=1cd6sj65iqqam…,2019-08-27T13:04:37.000Z,3,0
https://x.com/search?q=Fiat%20Strada%20pintura&src=typed_query&f=live,Fiat Strada,FIAT STRADA ADV. LOCKER  2014  1.8 83.000 KM AUTOMÁTICA CABINE DUPLA 3 PORTAS REVISADA  FAROL DE NEBLINA  PNEUS NOVOS  CHAVE RESERVA + MANUAL SEM RETOQUES DE PINTURA  ÓTIMO CUSTO BENEFÍCIO... https://facebook.com/jacarepaguanoticiasrj/posts/2201948936729827…,2018-12-28T16:41:16.000Z,2,0
https://x.com/search?q=Fiat%20Strada%20pintura&src=typed_query&f=live,Fiat Strada,"Vende-se: Fiat Strada Adventure 1.8 CD https://ift.tt/2APmXzF   Vendo Fiat Strada Adventure 1.8, cabine dupla, ano 2012, completa. Está como nova. Pintura branca, Protetor de caçamba, Carro bom e confiável. Liga Já – […]  O post Fiat Strada Adventure 1.8 CD apareceu primei…",2018-11-05T21:20:28.000Z,2,0
https://x.com/search?q=Fiat%20Strada%20pintura&src=typed_query&f=live,Fiat Strada,Sao Paulo  FIAT STRADA 1.4 MPI WORKING CS 8V FLEX 2P MANUAL BASICA 2016/2016  Combustível Flex Km 171.996 Portas 2p cor Branco Motor 1.4 câmbio Manual      Elétrica Bom     Interior Bom     Motor Bom     Pintura… https://instagram.com/p/B1qx7xWHhhU/?igshid=1cd6sj65iqqam…,2019-08-27T13:04:37.000Z,3,0
https://x.com/search?q=Fiat%20Strada%20pintura&src=typed_query&f=live,Fiat Strada,FIAT STRADA ADV. LOCKER  2014  1.8 83.000 KM AUTOMÁTICA CABINE DUPLA 3 PORTAS REVISADA  FAROL DE NEBLINA  PNEUS NOVOS  CHAVE RESERVA + MANUAL SEM RETOQUES DE PINTURA  ÓTIMO CUSTO BENEFÍCIO... https://facebook.com/jacarepaguanoticiasrj/posts/2201948936729827…,2018-12-28T16:41:16.000Z,2,0
